Order_ID,Customer_ID,Category,Product_Price,Discount,Delivery_Days,Customer_Rating,Returned,Discount_Group,Delivery_Group,Price_Outlier
ORD100001,CUST1066,Fashion,3452.27,2.7,5.0,3.8,Yes,0-10,5-6 Days,False
ORD100002,CUST1018,Sports,7470.13,8.1,4.0,3.4,No,0-10,3-4 Days,False
ORD100003,CUST1719,Beauty,5170.92,30.8,6.0,4.2,No,31-40,5-6 Days,False
ORD100004,CUST1144,Home & Kitchen,9028.11,7.4,4.0,4.7,No,0-10,3-4 Days,False
ORD100005,CUST1268,Electronics,52830.73,41.7,3.0,3.8,No,41+,3-4 Days,True
ORD100006,CUST1364,Electronics,9847.39,23.9,5.0,4.7,No,21-30,5-6 Days,False
ORD100007,CUST1316,Electronics,47723.91,26.3,6.0,4.2,No,21-30,5-6 Days,True
ORD100008,CUST1484,Sports,12819.93,20.8,7.0,3.0,Yes,21-30,7-8 Days,False
ORD100009,CUST1470,Home & Kitchen,5199.99,36.6,11.0,3.1,No,31-40,9+ Days,False
ORD100010,CUST1988,Beauty,2752.98,36.7,6.0,3.1,No,31-40,5-6 Days,False
ORD100011,CUST1310,Electronics,14102.49,30.0,7.0,3.6,Yes,21-30,7-8 Days,False
ORD100012,CUST1040,Sports,10804.44,33.5,8.0,3.6,Yes,31-40,7-8 Days,False
ORD100013,CUST1683,Beauty,3351.48,21.8,5.0,4.3,No,21-30,5-6 Days,False
ORD100014,CUST1502,Electronics,39942.78,33.1,8.0,3.7,No,31-40,7-8 Days,True
ORD100015,CUST1662,Electronics,15806.78,19.9,7.0,4.0,No,11-20,7-8 Days,False
ORD100016,CUST1004,Electronics,16646.02,25.0,3.0,2.9,Yes,21-30,3-4 Days,False
ORD100017,CUST1460,Fashion,811.23,20.9,4.0,4.0,No,21-30,3-4 Days,False
ORD100018,CUST1789,Home & Kitchen,8594.03,18.1,5.0,3.4,No,11-20,5-6 Days,False
ORD100019,CUST1987,Fashion,4698.08,14.7,5.0,3.4,No,11-20,5-6 Days,False
ORD100020,CUST1407,Fashion,6934.51,32.0,6.0,3.3,No,31-40,5-6 Days,False
ORD100021,CUST1170,Home & Kitchen,16939.64,44.7,8.0,5.0,Yes,41+,7-8 Days,False
ORD100022,CUST1859,Electronics,28946.8,42.6,4.0,2.9,No,41+,3-4 Days,False
ORD100023,CUST1809,Fashion,7648.4,6.2,4.0,4.3,No,0-10,3-4 Days,False
ORD100024,CUST1400,Fashion,5894.34,44.3,7.0,3.8,No,41+,7-8 Days,False
ORD100025,CUST1608,Fashion,7476.24,20.2,4.0,2.7,No,21-30,3-4 Days,False
ORD100026,CUST1548,Beauty,3307.25,34.0,10.0,3.6,Yes,31-40,9+ Days,False
ORD100027,CUST1634,Electronics,19239.74,11.4,8.0,1.9,No,11-20,7-8 Days,False
ORD100028,CUST1273,Home & Kitchen,2078.41,27.1,6.0,5.0,No,21-30,5-6 Days,False
ORD100029,CUST1182,Home & Kitchen,18371.25,29.7,7.0,3.5,No,21-30,7-8 Days,False
ORD100030,CUST1466,Electronics,11671.66,2.7,7.0,4.7,No,0-10,7-8 Days,False
ORD100031,CUST1347,Home & Kitchen,8127.16,34.1,4.0,4.9,Yes,31-40,3-4 Days,False
ORD100032,CUST1903,Electronics,34285.9,45.2,9.0,3.3,No,41+,9+ Days,True
ORD100033,CUST1886,Electronics,36042.91,22.4,11.0,3.8,No,21-30,9+ Days,True
ORD100034,CUST1425,Sports,9288.34,45.4,7.0,3.9,Yes,41+,7-8 Days,False
ORD100035,CUST1870,Sports,3077.45,22.2,8.0,5.0,No,21-30,7-8 Days,False
ORD100036,CUST1574,Beauty,2464.5,37.7,3.0,3.6,No,31-40,3-4 Days,False
ORD100037,CUST1630,Fashion,5128.96,0.0,6.0,3.8,Yes,0-10,5-6 Days,False
ORD100038,CUST1340,Electronics,58340.04,61.3,9.0,2.7,No,41+,9+ Days,True
ORD100039,CUST1252,Home & Kitchen,18408.67,47.4,7.0,3.1,No,41+,7-8 Days,False
ORD100040,CUST1825,Fashion,7419.53,20.7,3.0,3.4,No,21-30,3-4 Days,False
ORD100041,CUST1099,Electronics,46921.66,0.0,4.0,4.8,No,0-10,3-4 Days,True
ORD100042,CUST1495,Fashion,4937.88,29.3,11.0,5.0,Yes,21-30,9+ Days,False
ORD100043,CUST1289,Electronics,15561.29,3.3,4.0,4.2,No,0-10,3-4 Days,False
ORD100044,CUST1763,Sports,10233.6,31.7,5.0,4.1,No,31-40,5-6 Days,False
